category,id,name,likes,talking_about_count,were_here_count,location-street,location-city,location-country,location-zip,location-lat-lng,link,phone,website,description,members,mission,general_info,products,hours,category_list,cover,emails,founded
City,105999426098574,Sitaula,2,0,0,,,"29.84,80.78",https://www.facebook.com/pages/Sitaula/105999426098574,"""""","""""","Sitaula  is a village development committee in Darchula District in the Mahakali Zone of western Nepal. At the time of the 1991 Nepal census it had a population of 2139 people living in 343 individual households.External linksUN map of the municipalities of Darchula District","""""","""""","""""","""""","""""",City,"""""","""""",""""""
City,110328492329034,Baitadi,3070,27,5190,,<<not-applicable>>,"29.5333,80.4333",https://www.facebook.com/pages/Baitadi/110328492329034,"""""","""""","Khalanga or Baitadi Khalanga is a town and seat of Baitadi District in the Mahakali Zone of western Nepal. At the time of the 1991 Nepal census it had a population of 5,352 and had 1011 houses in the town.","""""","""""","""""","""""","""""",City,"""""","""""",""""""
Community/government,496428733824920,"Shri Këdar Electrical & Suppliers Bhotebhal Kathmandu",26,0,12,"Bhotebhal kathmandu",Kathmandu,Nepal,,"29.5333,80.4333",https://www.facebook.com/pages/Shri-K%C3%ABdar-Electrical-Suppliers-Bhotebhal-Kathmandu/496428733824920,014232799,"""""","""""","""""","""""","""""","""""","""""",Community/Government,"""""","""""",""""""
Shopping/retail,232635493547133,"Shree-Krishna shopping center",58,0,55,"siddshwor-9 khodape bichbazar",Baitadi,Nepal,,"29.5333,80.4333",https://www.facebook.com/shreekrishnashoppingcenter,9858751222,"""""","""""","""""","""""","""""","""""","""""","Mobile Phone Shop",object,"""""",""""""
"Public places",616887418457575,"Chwagadh Baitadi",5,0,22,"jayaprithivi rajmarg",Baitadi,Nepal,88888888,"29.5333,80.4333",https://www.facebook.com/pages/Chwagadh-Baitadi/616887418457575,9749521087,"""""","""""","""""","""""","""""","""""","""""","Public Places","""""","""""",""""""
Landmark,1457477537805272,"Baitadi District",5,0,0,,,"29.5179,80.467",https://www.facebook.com/pages/Baitadi-District/1457477537805272,"""""","""""","Baitadi é um distrito da zona de Mahakali, no Nepal. Tem como sede a cidade de Baitadi.","""""","""""","""""","""""","""""",Landmark,"""""","""""",""""""
City,109447495748021,"Pali, Nepal",85,1,88,,<<not-applicable>>,"29.5,80.5",https://www.facebook.com/pages/Pali-Nepal/109447495748021,"""""","""""","Pali is a small town in Arghakhanchi District in the Lumbini Zone of southern Nepal. At the time of the 1991 Nepal census it had a population of 4,016 and had 804 houses in the town.","""""","""""","""""","""""","""""",City,"""""","""""",""""""
Landmark,119367844775788,"Baitadi District",613,54,3112,,Baitadi,Nepal,,"29.560783239413,80.418981965629",https://www.facebook.com/pages/Baitadi-District/119367844775788,9848749820,"""""","Baitadi District, historical name “Bairath” , a part of Mahakali zone, is one of the seventy-five districts of Nepal, a landlocked country of South Asia. The district, with Baitadi as its district headquarters, covers an area of 1,519 km2 and has a population of 250,898 according to the census. The Baitadi district entails 62 village development councils and one municipality. Baitadi falls into the farthest western regional district of Nepal touching Jhulaghat, India, to its border. Being parts of Kumaun then Baitadi was ruled by Chand kings of Kumaun before 1791 and then after it became part of Nepal.HistoryBaitadi was once a part of Great Katyuri's Kingdom and after fall of that Kingdom around 10th century, Khas King Ashok Challa of Sapadalaksh (Karnali Zone or Dullu, Dailekh) seized the most of the part of Katyuri's Kingdom including Baitadi. There were three major centre of Khas King i.e., (1) Bairath (Baitadi) (2) Kamadesh (kali kumaun) and (3) Kedarbhumi (Garhwal) to rule in a Central Himalaya. According to the historical folk-tales in Baitadi it was one of the Chand Kings who fought with Khas king and established a sovereign state for Chand dynasty in Baitadi. This tales resembled to historical story of establishment of Kumaun Kingdom. One view of Historians of Uttarakhand suggested that It was Thohar Chand who was responsible to establish Chand dynasty in Kali-Kumaun Who changed his name to Abhai Chand after he became a King. Badri Dutt Pandey written histoty of Kumaun has quoted following story about the history of Kumaun.","""""","""""","""""","""""","""""",Landmark,"""""","""""",""""""
"Public places",752875011427275,"Dehimandu Baitadi",267,76,156,Dehimandu,Baitadi,Nepal,10207,"29.5333,80.4333",https://www.facebook.com/dehimandu6baitadi,"""""",http://en.wikipedia.org/wiki/Dehimandau,"Baitadi district is at a distance of 913 kilometers from Kathmandu. Baitadi Khalanga (Gadi) is the district headquarters of the district. There is a small park dedicated to martyr Dasarath Chand. The commercial activity is minimal. Pithoragarh, which is about 7 kilometers west across the India border, is an important trade outlet for some of the far western districts. There are 2 Constituencies, 13 ilakas, 62 VDCs and one Municipality (Dasarath Chand Municipality) in Baitadi District. 

General Information
Height : 2,439 m to 6,936 m from sea level.
Area : 1,519 sq.Km. 
Population : 250,898 (2011) (M-51%; F-49%).
Literacy rate : 52%.
Capital : Baitadi Khalanga
Longitude:  80°15′ to 82°45′ East
Latitude:     29°22′ to 29°27′ North
Major Rivers: Mahakali, Chaulani,
Climate: Tropical, Alpine
Max. Temperature: 32.4° C 
Min. Temperature: 0.5° C
Rainfall: 127 mm.
Brahmin-18.39%, Chhetri-48.4%, Dalit-32.39% ","""""","""""","""""","""""","""""","Hindu Temple/Wallpaper",object,"""""",""""""
Company,715556698508626,"Surendra air timale",15,0,7,,Baitadi,Nepal,096,"29.5333,80.4333",https://www.facebook.com/pages/Surendra-air-timale/715556698508626,9848805119,"""""","""""","""""","""""","""""","""""","""""",Company,object,"""""",""""""
"Community organization",330269523799855,"Anil kumar bista",155,2,4,"Kanchanpur Nepal",Baitadi,Nepal,,"29.5333,80.4333",https://www.facebook.com/pages/Anil-kumar-bista/330269523799855,9858751083,"""""","""""","""""","""""","""""","""""","""""","Community Organization",object,"""""",""""""
Library,688432721271428,"Lovely shambhu bist",5,0,1," Bishalpur kotigaum",Baitadi,Nepal,,"29.5333,80.4333",https://www.facebook.com/pages/Lovely-shambhu-bist/688432721271428,9848980028/9813903484,"""""","""""","""""","""""","""""","""""","""""",Library,"""""","""""",""""""
Food/beverages,387675394738219,"Jarga Baitadi",15,0,0,"D.C.M.3 jarga Baitadi",Baitadi,Nepal,,"29.5333,80.4333",https://www.facebook.com/pages/Jarga-Baitadi/387675394738219,"""""","""""","""""","""""","""""","""""","""""","""""",Food/Beverages,object,"""""",""""""
