name,formatted_address,vicinity,formatted_phone_number,international_phone_number,location-lat-lng,location-lat,location-lng,permanently_closed,rating,types,url,website,place_id
"Waterfront Resort","Pokhara, Nepal",Pokhara,061-466303,"+977 61-466303","28.221757,83.95152",28.221757,83.95152,,4.4,"lodging / establishment",https://plus.google.com/115572906476037603520/about?hl=en-US,http://www.waterfronthotelnepal.com/,ChIJ4TGpDt2UlTkRmOTU9P7P5tg
"MATRI KAGAJ UDHYOG","Katunje-1, Bhaktapur 23785, Nepal","Katunje-1, Bhaktapur",0984-1358365,"+977 984-1358365","27.666558,85.403616",27.666558,85.403616,,,establishment,https://plus.google.com/112823675182470492802/about?hl=en-US,,ChIJPX7HhIMa6zkRAlHEdl7c70E
"Laxmi Pratisthan","Near Tilganga Eye Hospital, Ring Road 08, Kathmandu 44600, Nepal","Near Tilganga Eye Hospital, Ring Road 08, Kathmandu",01-4489481,"+977 1-4489481","27.706319,85.350495",27.706319,85.350495,,,establishment,https://plus.google.com/101406100471977564660/about?hl=en-US,http://www.laxmipratisthan.org/,ChIJAVIm44EZ6zkRvp98y91CvKw
JAMARKO,"झम्सिखेल रोड, 44700, Nepal","झम्सिखेल रोड",01-5529495,"+977 1-5529495","27.677117,85.309501",27.677117,85.309501,,,"store / museum / establishment",https://plus.google.com/115142561872052042795/about?hl=en-US,http://www.jamarko.com.np,ChIJX7axFTQY6zkRAQ8g4mua5lY
"Dr. Ashish Ranjan's Ramnagar Clinic","Near Cardboard Factory, Ramnagar, Bihar 845106, India","Near Cardboard Factory, Ramnagar","072504 80301","+91 72504 80301","27.160208,84.329626",27.160208,84.329626,,,"doctor / health / establishment",https://plus.google.com/116810000599317428646/about?hl=en-US,,ChIJNWe-bsmGlDkRlVnTjN7VHdo
"Mithila Paper Mill","Malangia, Bihar 847213, India",Malangia,,,"26.325492,86.03091",26.325492,86.03091,,,establishment,https://plus.google.com/100203629299290472390/about?hl=en-US,,ChIJFwFE74zM7TkRIZq7qtsmsdg
"Norbu Ghang Retreat & Spa","Pelling West, Pemayangtse, Sikkim 737113, India","Pelling West, Pemayangtse","03595 258 250","+91 3595 258 250","27.319772,88.240033",27.319772,88.240033,,,"lodging / spa / health / establishment",https://plus.google.com/104948141944998294474/about?hl=en-US,http://sonamgyaltsen.wix.com/norbughang,ChIJq6qqanGG5jkRgsas9OlWCzk
"Ghoshpukur Paper Mill","Haribhita, West Bengal 734426, India",Haribhita,,,"26.582289,88.267181",26.582289,88.267181,,,establishment,https://plus.google.com/118220649746665305455/about?hl=en-US,,ChIJ33lrW8JR5DkRWzvCVksw1VY
"A K Chowdhury & Co","8, Lal Bazar Street, B B D Bagh, B B D Bagh, Kolkata, West Bengal 700001, India","8, Lal Bazar Street, B B D Bagh, B B D Bagh, Kolkata","033 2230 6671","+91 33 2230 6671","22.572922,88.350576",22.572922,88.350576,,,establishment,https://plus.google.com/107276356208988332462/about?hl=en-US,,ChIJ4QNAn6V3AjoRW53SNTgHnO8
"Ashika Commercial Pvt Ltd","1, Garstin Place, 4c Orbit, Kolkata, 700001, India","1, Garstin Place, 4c Orbit, Kolkata, 700001","033 2210 7476","+91 33 2210 7476","22.572646,88.363895",22.572646,88.363895,,,establishment,https://plus.google.com/102073954015703518736/about?hl=en-US,http://www.sonacommercial.com/,ChIJe6yzIVN2AjoRb74aqCZuvgA
