name,formatted_address,vicinity,formatted_phone_number,international_phone_number,location-lat-lng,location-lat,location-lng,permanently_closed,rating,types,url,website,place_id
Dokuna,"Vill - Dokuna, P.O - Dangati, Dangati, Uttarakhand 262543, India","Vill - Dokuna, P.O - Dangati, Dangati","097173 28095","+91 97173 28095","29.738296,80.342717",29.738296,80.342717,,,"city_hall / local_government_office / establishment",https://plus.google.com/107292207907137996569/about?hl=en-US,,ChIJf8uGxr8zoTkRdIu74jxlFuc
"Shree Steel & Hardware","Survey # 774/11, opp Balzdon Service station near new petrol pump, Savordem, Goa 403612, India","Survey # 774/11, opp Balzdon Service station near new petrol pump, Savordem","098223 20993","+91 98223 20993","30.057482,80.593849",30.057482,80.593849,,,"hardware_store / store / establishment",https://plus.google.com/104900553999698991082/about?hl=en-US,,ChIJz1RVVVW6vzsRy_2zoQlXI9g
"Bhatt Hardware","Askote Didihat Link Road, Askote, Uttarakhand 262543, India","Askote Didihat Link Road, Askote",,,"29.76504,80.3333",29.76504,80.3333,,,"hardware_store / store / establishment",https://plus.google.com/117011040847908271922/about?hl=en-US,,ChIJ-zKqRQ8zoTkRpws2uJgzoVI
"Kaman singh samant","Doulani, 1, Bhagichaura Peepali Road, Uttarakhand 262541, India","Doulani, 1, Bhagichaura Peepali Road","090121 66696","+91 90121 66696","29.68672,80.355463",29.68672,80.355463,,,establishment,https://plus.google.com/115434973661155034909/about?hl=en-US,,ChIJQR8oQzcxoTkR9PN36OL1DaE
"Mahra Hardware","Jauljibi - Madkote Road, Bungapani, Uttarakhand 262555, India","Jauljibi - Madkote Road, Bungapani",,,"29.957187,80.303786",29.957187,80.303786,,,"hardware_store / store / establishment",https://plus.google.com/111368513151847248730/about?hl=en-US,,ChIJgzgLsb7PpjkRGZxTRpoMw2I
"Rastriya Banijya Bank, Darchula Branch","Mahakali Highway, 10100, Nepal","Mahakali Highway",093-420155,"+977 93-420155","29.845289,80.540524",29.845289,80.540524,,,"bank / finance / establishment",https://plus.google.com/105317746100732019171/about?hl=en-US,http://www.rbb.com.np/,ChIJ1U9V_J60pjkR2fHsaXBI_Y4
"Pinnacle Computer Academy Patan, Baitadi","पाटन मूलमार्ग, Patan 10200, Nepal","पाटन मूलमार्ग, Patan",095-400013,"+977 95-400013","29.462631,80.547657",29.462631,80.547657,,,establishment,https://plus.google.com/107015688381592250194/about?hl=en-US,http://www.pcapatan.webs.com,ChIJwfTqPgNCoTkR8XuQli-jdE0
"Uttarakhand Power Corporation Ltd","National Highway 125, Pithoragarh, Uttarakhand 262501, India","National Highway 125, Pithoragarh","0135 276 3672","+91 135 276 3672","29.576025,80.211042",29.576025,80.211042,,,establishment,https://plus.google.com/109516433646163374272/about?hl=en-US,https://www.upcl.org/,ChIJ2wQO67cloTkRsSbbtQauSFQ
"Warti House","Dharchula Road, Pithoragarh, Uttarakhand 262501, India","Dharchula Road, Pithoragarh",,,"29.590112,80.2193",29.590112,80.2193,,,establishment,https://plus.google.com/107545133626881690755/about?hl=en-US,,ChIJAUhUw5cloTkRUF2tlr315cM
"Khilesh Kothari Niwas","Jamar Kote, Uttarakhand 262523, India","Jamar Kote",,,"29.652899,80.084281",29.652899,80.084281,,,establishment,https://plus.google.com/114613057321801819924/about?hl=en-US,,ChIJzW5HMzLWoDkRXXTZ2bKYcDg
"Bohra Building","National Highway 125, Kanalgaon, Uttarakhand 262523, India","National Highway 125, Kanalgaon",,,"29.332326,80.094506",29.332326,80.094506,,,establishment,https://plus.google.com/111086555028125606111/about?hl=en-US,,ChIJs65lkP7hoDkRsa3XhdSeiJw
Panchayat,"Chitgal, Gangolihat, Gangolihat, Uttarakhand 262522, India","Chitgal, Gangolihat","096501 10159","+91 96501 10159","29.658656,80.039703",29.658656,80.039703,,,"city_hall / local_government_office / establishment",https://plus.google.com/106741424203301387123/about?hl=en-US,,ChIJF70Jqe_WoDkRduRHJLFFSy8
"Bisht Hardware","National Highway 125, Champawat, Uttarakhand 262523, India","National Highway 125, Champawat",,,"29.335224,80.09001",29.335224,80.09001,,,"hardware_store / store / establishment",https://plus.google.com/113400021136180189521/about?hl=en-US,,ChIJBaBmrPvhoDkRME0lrr3MIF0
