name,formatted_address,vicinity,formatted_phone_number,international_phone_number,location-lat-lng,location-lat,location-lng,permanently_closed,rating,types,url,website,place_id
"Nepal Telecom Darchula","Kailash Mansarovar Road, 10100, Nepal","Kailash Mansarovar Road",,,"29.842814,80.537551",29.842814,80.537551,,,establishment,https://plus.google.com/114502376306060116671/about?hl=en-US,http://www.ntc.net.np/,ChIJpcarupi0pjkRqz2n7lq0sHY
"Rawat Building Material Store","Mantoli, Berinag, Uttarakhand 262531, India","Mantoli, Berinag",,,"29.777778,80.057293",29.777778,80.057293,,,"store / establishment",https://plus.google.com/113850224512171952162/about?hl=en-US,,ChIJIQ3SYynVoDkRGtV_0guZcyc
"Pathak Material Suppliers","Mantoli, Berinag, Uttarakhand 262531, India","Mantoli, Berinag",,,"29.776829,80.055726",29.776829,80.055726,,,"store / establishment",https://plus.google.com/116610858499933912290/about?hl=en-US,,ChIJWSQwminVoDkR5uzuxlY1aes
"PWD construction Material Store","Raiagar, Berinag, Uttarakhand 262531, India","Raiagar, Berinag",,,"29.777979,80.054455",29.777979,80.054455,,,"store / establishment",https://plus.google.com/114182247849135602659/about?hl=en-US,,ChIJdec3HCrVoDkR_QsjDR-8zQw
"Chand Tent House","National Highway 125, Bilheeri, Uttarakhand 262308, India","National Highway 125, Bilheeri",,,"28.96834,80.015885",28.96834,80.015885,,,establishment,https://plus.google.com/104399712737589312081/about?hl=en-US,,ChIJKVcwvRtUoDkRsqrddVT_xOs
"Ravi Tent House","Banbasa, Majhola, Uttarakhand 262305, India","Banbasa, Majhola","097198 01295","+91 97198 01295","28.813959,79.888482",28.813959,79.888482,,,"store / establishment",https://plus.google.com/110526473602689957381/about?hl=en-US,,ChIJ_____w5FoDkRBUXLgLGPF_k
"modern tiles","Mela Road, Palia Kalan, Uttar Pradesh 262701, India","Mela Road, Palia Kalan","081272 51119","+91 81272 51119","28.430136,80.580708",28.430136,80.580708,,,"home_goods_store / store / establishment",https://plus.google.com/109536044337392050375/about?hl=en-US,,ChIJnfgd8ITjoTkR7UkC-1_tBa0
"Ester Industries Ltd","Charu Beta, Uttarakhand 262308, India","Charu Beta","05943 250 153","+91 5943 250 153","28.899246,79.944802",28.899246,79.944802,,,establishment,https://plus.google.com/102643789036077740371/about?hl=en-US,http://www.esterindustries.com/,ChIJy2bvG19QoDkROcGJk0_NqiY
"Nepal Telecom-Rajapur","Rajapur Road, Rajapur 21800, Nepal","Rajapur Road, Rajapur",,,"28.430069,81.08975",28.430069,81.08975,,,establishment,https://plus.google.com/106651183779853643057/about?hl=en-US,http://www.ntc.net.np/,ChIJD-lwIM0LojkRRoLy0koZE4U
"Chimara Tower","Dillichaur 21200, Nepal",Dillichaur,,,"29.28488,82.254192",29.28488,82.254192,,,establishment,https://plus.google.com/102712064003615155518/about?hl=en-US,http://ntc.net.np/,ChIJhU-d6oHUvDkRqS0Fpl81bE4
"Nepal Telecom","Gulariya 21800, Nepal",Gulariya,,,"28.203984,81.343852",28.203984,81.343852,,,establishment,https://plus.google.com/107664248152650173980/about?hl=en-US,http://www.ntc.net.np/,ChIJBcLDXPyPmDkROC0gnMVfCaw
"Himal Academy","Tulsipur-6, Dang, Tulsipur 22412, Nepal","Tulsipur-6, Dang, Tulsipur",082-522181,"+977 82-522181","28.120093,82.289786",28.120093,82.289786,,,"school / establishment",https://plus.google.com/111216695647936403161/about?hl=en-US,http://www.himalacademypvt.edu.np/,ChIJCWfimI_0lzkRMg2CltbwRno
"St. Thomas Higher Secondary School","Ratna Rajmarg H12 (Nepalganj-Surkhet Road), Nepalgunj 21900, Nepal","Ratna Rajmarg H12 (Nepalganj-Surkhet Road), Nepalgunj",,,"28.064648,81.623532",28.064648,81.623532,,,"school / establishment",https://plus.google.com/106324396821665513001/about?hl=en-US,http://www.nepalgunj.net/education/stthomas.html,ChIJ_wS0WkBnmDkRldqNoLiCW0I
"Nepal Telecom","Ratna Rajmarg H12 (Nepalganj-Surkhet Road), Nepalgunj 21900, Nepal","Ratna Rajmarg H12 (Nepalganj-Surkhet Road), Nepalgunj",,,"28.065211,81.623687",28.065211,81.623687,,,establishment,https://plus.google.com/109996832482757363248/about?hl=en-US,http://www.ntc.net.np/,ChIJjxLnQ0BnmDkReaI28CvxIK4
"Nepal Telecom Office","Tribhuvan Chowk, Nepalgunj 21900, Nepal",Nepalgunj,,,"28.053914,81.620023",28.053914,81.620023,,,establishment,https://plus.google.com/116717502387881521910/about?hl=en-US,http://www.ntc.net.np,ChIJH52VoFxnmDkRohOYRSpLhow
"SEO SMO Information","Rupaidiha, Uttar Pradesh 271881, India",Rupaidiha,"098918 51733","+91 98918 51733","28.017401,81.598389",28.017401,81.598389,,,establishment,https://plus.google.com/117229143403915988030/about?hl=en-US,http://seo-smo-information.blogspot.com/,ChIJH4qxmHRemDkRVRD8ZlWbBro
"Bhinga Tiger Tents","Katarneya Ghat Range, Uttar Pradesh 271855, India","Katarneya Ghat Range","094151 21369","+91 94151 21369","28.315602,81.182914",28.315602,81.182914,,,establishment,https://plus.google.com/113539816866968358206/about?hl=en-US,,ChIJ4ZBhrUGfmDkRB1OzfVGI2-w
"ONGC Hospital","State Highway 26, Sisya Kalan, Uttar Pradesh 262723, India","State Highway 26, Sisya Kalan",,,"27.961163,81.165211",27.961163,81.165211,,,"hospital / establishment",https://plus.google.com/111650167619991570438/about?hl=en-US,http://www.ongcindia.com/,ChIJydmb6njqmDkRCpu8g5rPpbg
"Nepal Telecom , Ghorahi Office","Balmandir to Telicom Road, Ghorahi 22400, Nepal","Balmandir to Telicom Road, Ghorahi",082-560044,"+977 82-560044","28.04405,82.489862",28.04405,82.489862,,,establishment,https://plus.google.com/112044652642260721925/about?hl=en-US,http://www.ntc.net.np/,ChIJA2aotmOUlzkRZBaOVctK5so
"Raniban Retreat","World Peace Pagoda, Pokhara 33700, Nepal","World Peace Pagoda, Pokhara",01-4411855,"+977 1-4411855","28.202635,83.939141",28.202635,83.939141,,,"lodging / establishment",https://plus.google.com/110163909647020232556/about?hl=en-US,http://www.raniban.com/,ChIJH3N7jC-VlTkRRAV1PFt4UCM
"Pristine Mountain Adventure P. Ltd.","Lakeside marga, 6, Pokhara 33700, Nepal","Lakeside marga, 6, Pokhara",061-463577,"+977 61-463577","28.20897,83.957326",28.20897,83.957326,,,"travel_agency / establishment",https://plus.google.com/100319388676843033607/about?hl=en-US,http://www.pristinetrekking.com/,ChIJ5-zasaWVlTkR-LUACdDbIJA
"sitaldevi nirman sewa","Sitaldevi, Pokhara, Pokhara, Nepal","Sitaldevi, Pokhara",061-532744,"+977 61-532744","28.217734,84.001389",28.217734,84.001389,,,establishment,https://plus.google.com/107917664927936672583/about?hl=en-US,http://www.tradekey.com/,ChIJeYbuBX-TlTkRTWr6tMOi4ao
"Pokhara Grande","Pardi Bazaar, Pokhara 33700, Nepal","Pardi Bazaar, Pokhara",061-460210,"+977 61-460210","28.1918,83.9747",28.1918,83.9747,,4.1,"lodging / establishment",https://plus.google.com/114274145252914491635/about?hl=en-US,http://www.pokharagrande.com/,ChIJ8YXCRn-UlTkRPhmQOjfJ1PU
"R&R Guest House","Barahi Street, Pokhara, Nepal","Barahi Street, Pokhara",0984-6037175,"+977 984-6037175","28.209499,83.961532",28.209499,83.961532,,,"lodging / establishment",https://plus.google.com/112409182995398009382/about?hl=en-US,http://www.booking.com/hotel/np/r-amp-r-guest-house.en-gb.html?sid=57a6a4174c1ecf11e4469467149e3b2d;dcid%3D4;dist%3D0&type=total&#tab-main,ChIJDaCy8ByVlTkR9DEiTQOGnpI
"Extreme River Rafting","Center Point, Lake Side, Pokhara, Nepal 33700, Nepal","Center Point, Lake Side, Pokhara, Nepal",0985-6022071,"+977 985-6022071","28.213139,83.95753",28.213139,83.95753,,,"travel_agency / establishment",https://plus.google.com/105068083867615227249/about?hl=en-US,http://www.nepal-rafting.com/,ChIJexGP4eGUlTkRu8CiF5zWKc8
"Shree Sanskrit Higher Secondry School","Dhawalagiri, 33300, Nepal",,0984-9811109,"+977 984-9811109","28.114515,83.609219",28.114515,83.609219,,,"school / establishment",https://plus.google.com/115316352983420670982/about?hl=en-US,http://www.spanamol.blogspot.com/,ChIJRTsG7JnflTkRZFzK2BXNnD8
