name,formatted_address,vicinity,formatted_phone_number,international_phone_number,location-lat-lng,permanently_closed,rating,types,url,website,place_id
"Nepal Telecom Darchula","Kailash Mansarovar Road, 10100, Nepal","Kailash Mansarovar Road",,,"29.842814,80.537551",,,establishment,https://plus.google.com/114502376306060116671/about?hl=en-US,http://www.ntc.net.np/,ChIJpcarupi0pjkRqz2n7lq0sHY
"Rawat Building Material Store","Mantoli, Berinag, Uttarakhand 262531, India","Mantoli, Berinag",,,"29.777778,80.057293",,,"store / establishment",https://plus.google.com/113850224512171952162/about?hl=en-US,,ChIJIQ3SYynVoDkRGtV_0guZcyc
"Pathak Material Suppliers","Mantoli, Berinag, Uttarakhand 262531, India","Mantoli, Berinag",,,"29.776829,80.055726",,,"store / establishment",https://plus.google.com/116610858499933912290/about?hl=en-US,,ChIJWSQwminVoDkR5uzuxlY1aes
"PWD construction Material Store","Raiagar, Berinag, Uttarakhand 262531, India","Raiagar, Berinag",,,"29.777979,80.054455",,,"store / establishment",https://plus.google.com/114182247849135602659/about?hl=en-US,,ChIJdec3HCrVoDkR_QsjDR-8zQw
"Chand Tent House","National Highway 125, Bilheeri, Uttarakhand 262308, India","National Highway 125, Bilheeri",,,"28.96834,80.015885",,,establishment,https://plus.google.com/104399712737589312081/about?hl=en-US,,ChIJKVcwvRtUoDkRsqrddVT_xOs
"Ravi Tent House","Banbasa, Majhola, Uttarakhand 262305, India","Banbasa, Majhola","097198 01295","+91 97198 01295","28.813959,79.888482",,,"store / establishment",https://plus.google.com/110526473602689957381/about?hl=en-US,,ChIJ_____w5FoDkRBUXLgLGPF_k
"modern tiles","Mela Road, Palia Kalan, Uttar Pradesh 262701, India","Mela Road, Palia Kalan","081272 51119","+91 81272 51119","28.430136,80.580708",,,"home_goods_store / store / establishment",https://plus.google.com/109536044337392050375/about?hl=en-US,,ChIJnfgd8ITjoTkR7UkC-1_tBa0
"Ester Industries Ltd","Charu Beta, Uttarakhand 262308, India","Charu Beta","05943 250 153","+91 5943 250 153","28.899246,79.944802",,,establishment,https://plus.google.com/102643789036077740371/about?hl=en-US,http://www.esterindustries.com/,ChIJy2bvG19QoDkROcGJk0_NqiY
"Nepal Telecom-Rajapur","Rajapur Road, Rajapur 21800, Nepal","Rajapur Road, Rajapur",,,"28.430069,81.08975",,,establishment,https://plus.google.com/106651183779853643057/about?hl=en-US,http://www.ntc.net.np/,ChIJD-lwIM0LojkRRoLy0koZE4U
"Chimara Tower","Dillichaur 21200, Nepal",Dillichaur,,,"29.28488,82.254192",,,establishment,https://plus.google.com/102712064003615155518/about?hl=en-US,http://ntc.net.np/,ChIJhU-d6oHUvDkRqS0Fpl81bE4
