name,formatted_address,vicinity,formatted_phone_number,international_phone_number,location-lat-lng,permanently_closed,rating,types,url,website,place_id
"Yongxin Automobile Repair Branch","207 Provincial Road, Burang, Tibet, China","207 Provincial Road, Burang",,,"30.295365,81.176549",,,"car_repair / establishment",https://plus.google.com/112370900270293871832/about?hl=en-US,,ChIJd0_-DZdApDkRgNogEBY-tGU
"Anzaar Repair and Spare Parts","Far-Western Region, 262544, Nepal",,,,"29.750958,80.377924",,,"car_repair / establishment",https://plus.google.com/117210017119191253287/about?hl=en-US,,ChIJ4afPRGU0oTkRwHGsQKG_y9o
"Burang Shunda Automobile Repair","207 Provincial Road, Burang, Tibet, China","207 Provincial Road, Burang",,,"30.299724,81.178617",,,"car_repair / establishment",https://plus.google.com/109244001607916395748/about?hl=en-US,,ChIJyYIJjr1ApDkRBFX_Uq7_vUQ
"Yuanxiang Automobile Repair Factory","Burang, Tibet, China",Burang,,,"30.290511,81.178769",,,"car_repair / establishment",https://plus.google.com/108548973029489666620/about?hl=en-US,,ChIJ5yRuoJFApDkR7E2yRmYWF3w
"Yongxin Automobile Repair Factory","Burang, Tibet, China",Burang,,,"30.290065,81.178977",,,"car_repair / establishment",https://plus.google.com/112014236874982387762/about?hl=en-US,,ChIJ5RPzmJFApDkRGw8oeSULup8
"Shree Steel & Hardware","Survey # 774/11, opp Balzdon Service station near new petrol pump, Savordem, Goa 403612, India","Survey # 774/11, opp Balzdon Service station near new petrol pump, Savordem","098223 20993","+91 98223 20993","30.057482,80.593849",,,"hardware_store / store / establishment",https://plus.google.com/104900553999698991082/about?hl=en-US,,ChIJz1RVVVW6vzsRy_2zoQlXI9g
"Mahra Hardware","Jauljibi - Madkote Road, Bungapani, Uttarakhand 262555, India","Jauljibi - Madkote Road, Bungapani",,,"29.957187,80.303786",,,"hardware_store / store / establishment",https://plus.google.com/111368513151847248730/about?hl=en-US,,ChIJgzgLsb7PpjkRGZxTRpoMw2I
"Bhatt Hardware","Askote Didihat Link Road, Askote, Uttarakhand 262543, India","Askote Didihat Link Road, Askote",,,"29.76504,80.3333",,,"hardware_store / store / establishment",https://plus.google.com/117011040847908271922/about?hl=en-US,,ChIJ-zKqRQ8zoTkRpws2uJgzoVI
"Api Nampa Conservation Area","Mahakali, 10100, Nepal",,,,"29.936347,80.89865",,4.2,"park / natural_feature / establishment",https://plus.google.com/111413603584904615842/about?hl=en-US,http://www.anca.gov.np/,ChIJVwu6DWispjkR6p_mJNCWncU
"Bajhang Airport","Seti, 10500, Nepal",,,,"29.538436,81.183534",,,"airport / transit_station / establishment",https://plus.google.com/111574516655178754607/about?hl=en-US,,ChIJL4YyoSGVozkRPn-o8aHuWsQ
