"Ypnepal.com Listing ID",Company,Description,Address,"P.O. Box",City,Country,Phone,Mobile,Fax,Email,URL,Updated,Categories,location-lat-lng,location-lat,location-lng
1088,"Nepal Handmade Paper Association",,Kalimati,,Kathmandu,Nepal,00977-1-4276290,,,handpass@enet.com.np,http://www.handpass.org,2009-11-07,"Associations & Clubs","27.701691866146,85.320596694946",27.701691866146,85.320596694946
1153,"Nepal Plastic Manufacturers Association",,Kupondole,,Kathmandu,Nepal,00977-1-5528185,,00977-1-5528185,npma1986@gmail.com,,2009-11-07,"Associations & Clubs","27.701691866146,85.320596694946",27.701691866146,85.320596694946
1159,"Nepal Pulp & Paper Manufacturers' Association",,Kalimati,"363, Ktm",Kathmandu,Nepal,00977-1-4282834,,00977-1-4242723,,,2009-11-07,"Associations & Clubs","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2240,"A1 Suppliers",,"New Road",,Kathmandu,Nepal,00977-1-9841275810,,,,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2241,"Ajima Emporium",,Ason,,Kathmandu,Nepal,00977-1-4223642,,,,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2242,"Aman Bag Shop",,"New Road",,Kathmandu,Nepal,"00977-1-4263288, 4256488",,,,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2243,"Ashirbad Impex",,"New Road",,Kathmandu,Nepal,"00977-1-4220048, 4259258",,,,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2244,"Bag House",,"Wotu Tole",,Kathmandu,Nepal,"00977-1-4230680, 4248982",,,ssbagproduct@hotmail.com,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2245,"Bagmati Polytrick Industries (P) Ltd.",,"New Road","4028, Ktm",Kathmandu,Nepal,"00977-1-4225215, 4243215",,00977-1-4241297,jsn@wlink.com.np,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2246,"Bagmati Polytrick Industries (P) Ltd.",,"Teenpainy Chowk",,Biratnagar,Nepal,"522780, 524327",,528605,kaveri@cworld.com.np,,2009-11-07,"Bags & Wrappers","26.4542,87.2797",26.4542,87.2797
2247,"Bagmati Polytrick Industries (P) Ltd.",,"Adarsha Nagar",,Birgunj,Nepal,521425,,521955,,,2009-11-07,"Bags & Wrappers","27.010428,84.877352",27.010428,84.877352
2248,"Bajrayogini Bag Production",,Chhetrapati,,Kathmandu,Nepal,"00977-1-4251485, 4257333",,,,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2249,"Bhutandevi P.P. Kapada Udhyog",,"Kamal Danda",,Hetauda,Nepal,520078,,,,,2009-11-07,"Bags & Wrappers","27.416667,85.033333",27.416667,85.033333
2250,"Chewang Enterprises",,Khichapokhari,"535, Ktm",Kathmandu,Nepal,"00977-1-4230415, 4244966",,00977-1-4231303,,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2251,Concept,,Bhotahity,,Kathmandu,Nepal,"00977-1-4223994, 4239072, 9841330131",,,lord_pratham@yahoo.com,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2252,"Dilip Store",,"Wotu Tole",,Kathmandu,Nepal,"00977-1-4220527, 4246654",,00977-1-4248308,dilip@star.wlink.com.np,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2253,"Ladies Bag House",,Ranamukteshwor,,Kathmandu,Nepal,"00977-1-4263288, 4256488 Ext. 323",,,,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2254,"Manang Bag Shop",,Thamel,,Kathmandu,Nepal,00977-1-4411285,,00977-1-4351285,,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2255,"Monika Bag Center",,Biratnagar,,Biratnagar,Nepal,523354,,,,,2009-11-07,"Bags & Wrappers","26.4542,87.2797",26.4542,87.2797
2256,"Narayani Corrugated & Box Factory",,Biratnagar,,Biratnagar,Nepal,520884,,,,,2009-11-07,"Bags & Wrappers","26.4542,87.2797",26.4542,87.2797
2257,"Neeta Store",,"Pyukha Tole",,Kathmandu,Nepal,00977-1-4248908,,,,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2258,"New Fashion Bag",,Tripureshwor,,Kathmandu,Nepal,00977-1-4117034,,,,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
2259,"New Puja Trade Link",,"Makhan Tole",,Kathmandu,Nepal,"00977-1-4242560, 4231781",,00977-1-4231781,sarafprabhat@hotmail.com,,2009-11-07,"Bags & Wrappers","27.701691866146,85.320596694946",27.701691866146,85.320596694946
