Address,"Lat/Lng Geocode"
"Darjula,Mahakali,Nepal","29.8812097,80.7657804"
"Baitdi,Mahakali,Nepal","29.5185787,80.4688061"
"Dadeldhhura,Mahakali,Nepal","29.2188245,80.4993857"
"Kanchanpur,Mahakali,Nepal","28.8372008,80.3213106"
"Bajura,Seti,Nepal","29.355909,81.309723"
"Aachham,Seti,Nepal","29.05,81.3"
"Bajhang,Seti,Nepal","29.776669,81.2518833"
"Doati,Seti,Nepal","29.200598,80.8986502"
"Kailali,Seti,Nepal","28.831355,80.8986502"
"Dolpa,Karnali,Nepal","29.0538532,83.0790865"
"Mugu,Karnali,Nepal","29.866667,82.616667"
"Jumla,Karnali,Nepal","29.2787765,82.12784"
"Kalikot,Karnali,Nepal","29.2088617,81.734942"
"Humla,Karnali,Nepal","30.0051731,81.9534815"
"Jajrkot,Bheri,Nepal","28.73,82.22"
"Dailekh,Bheri,Nepal","28.837761,81.707977"
"Surkhet,Bheri,Nepal","28.517456,81.7787021"
"Banke,Bheri,Nepal","28.1460573,81.7787021"
"Bardia,Bheri,Nepal","28.3648644,81.5596427"
"Rukum,Rapti,Nepal","28.7434423,82.4752757"
"Rolpa,Rapti,Nepal","28.3815621,82.6483442"
"Pyuthan,Rapti,Nepal","28.1,82.866667"
"Salyan,Rapti,Nepal","28.3524811,82.12784"
"Dang,Rapti,Nepal","27.9903597,82.3017728"
"Mustang,Dhaulagiri,Nepal","28.9985065,83.8473015"
"Myagdi,Dhaulagiri,Nepal","28.6984652,83.4873496"
"Baglung,Dhaulagiri,Nepal","28.266667,83.6"
"Parbat,Dhaulagiri,Nepal","28.178049,83.6986568"
"Gorkha,Gandaki,Nepal","28,84.633333"
"Manang,Gandaki,Nepal","28.666667,84.016667"
"Lamjung,Gandaki,Nepal","28.2765491,84.3542049"
"Kaski,Gandaki,Nepal","28.2622146,84.0167423"
"Tanhu,Gandaki,Nepal","27.944705,84.2278796"
"Sayangja,Gandaki,Nepal","28.0196825,83.804868"
"Gulmi,Lumbini,Nepal","28.088934,83.2934086"
"Palpa,Lumbini,Nepal","27.8252522,83.634843"
"Aarghhakhachi,Lumbini,Nepal","27.9829269,83.0361376"
